lfn_sentence,eng_sentence
El es un campion de tenis.,He is a tennis champion.
Jonguo ave cualias jonguo.,China has Chinese characteristics.
El ia visita Xina en 1998.,He visited China in 1998.
Contra me mesma me ia rie.,I laughed in spite of myself.
Contra se mesma el ia rie.,He laughed in spite of himself.
Me no es un dotor medical.,I'm not a doctor.
La persones a veses menti.,"Sometimes, people lie."
A veses la persones menti.,"Sometimes, people lie."
Me ia pensa ce Tom es bon.,I thought Tom was good.
No oblida ce Tom es sieca.,Don't forget that Tom is blind.
Esce me pote abri un bote?,May I open a can?
Nos pote abri la fenetras.,We can open the windows.
La cosas ia cambia a fini.,Things eventually changed.
La situa ia cambia a fini.,Things eventually changed.
Esta no es un coaveni pur.,This is no mere coincidence.
Esta no es pur un coaveni.,This is no mere coincidence.
Cada cosa es lojical aora.,Everything makes sense now.
Maria ia brosi sua cavalo.,Mary brushed her horse.
Aora el brosi sua capeles.,She is brushing her hair.
La xicos brosi sua dentes.,The boys brush their teeth.
Ambos de nos ia es erante.,We were both wrong.
Pelicanes ave becos longa.,Pelicans have large beaks.
Me pensa ce el razona bon.,I'm afraid that he is right.
No oblida dise esta a Tom.,Don't forget to tell Tom that.
Tom ia dise un broma a me.,Tom told me a joke.
Tom no es comente un poma.,Tom isn't eating an apple.
Tom es tro joven per acel.,Tom is too young for that.
La musica deleta la oreas.,Music gratifies the ears.
Vive no esiste sin musica.,"No music, no life."
Esce esta animal es santa?,Is this animal holy?
Esce tu nesesa esta libro?,Do you need this book?
Cual jornal dial vos leje?,Which newspaper do you read?
De ci esta jornal dial es?,Whose newspaper is this?
Tom ia cade de sua cavalo.,Tom fell off his horse.
La atomes es en cada cosa.,Atoms are in everything.
No person es sentante asi.,There's no one sitting here.
El porta un anelo valuosa.,She is wearing a valuable ring.
On vende ovos a desduples.,Eggs are sold by the dozen.
Cual ora es en Paris aora?,What time is it in Paris now?
La supramercato es abrida.,The supermarket is open.
Mea vive es un contradise.,My life's a contradiction.
Esta pupa ave oios grande.,This doll has big eyes.
Esce vos vole plu de cafe?,Would you like more coffee?
Mea color favoreda es blu.,My favorite color is blue.
Menti a Tom no plase a me.,I don't like lying to Tom.
Tom no es un bon ensenior.,Tom isn't a good teacher.
Cual cosa vos vole de nos?,What do you want from us?
Esta es fodeda merveliosa.,This is fucking awesome.
Nos debe respeta lunlotra.,We have to respect each other.
Me suposa ce lo no es bon.,I assume it's not good.
Esce tu labora en un vila?,Do you work in a town?
Acel es la disposa coreta.,That's the right attitude.
Nun ia sabe do el ia vade.,Nobody knew where he went.
"Bon, cisa me pote aida el.","Well, maybe I can help her."
"Bon, cisa me pote aida tu.","Well, maybe I can help you."
Ivri es un lingua difisil.,Hebrew is a difficult language.
Cuasi no person sabe esta.,Virtually nobody knows this.
Cuasi no person sabe acel.,Virtually nobody knows that.
Tom ave amis en Deutxland.,Tom has friends in Germany.
Me no ia scrive alga cosa.,I haven't written anything.
Cuanto acel es en dolares?,How much is that in dollars?
Perce vos no comprende lo?,Why don't you understand it?
Me sabe ce tu no ave mone.,I know you don't have money.
No person sabe tota cosas.,No-one knows everything.
Nos no ave un televisador.,We don't have a television.
"An con tota, Tom es felis.","In spite of everything, Tom is happy."
Tu aseta cartas de credito?,Do you accept credit cards?
"Per favore, dona la fatura.","The check, please."
Me va come un ovo sentenio.,I will eat century egg.
No tota muslimes es arabis.,Not all Muslims are Arabs.
"Sol e pluve, arco de sielo.","Sun and rain, rainbow."
Mea fia usa aparato dental.,My daughter has braces.
Mea fia gusta jalas de ovo.,My daughter likes egg yolks.
"El es la tua fia unica, no?",Is she your only daughter?
Me no va sorti a esta sera.,I'm not going out tonight.
Perce ambos de vos batalia?,Why are you two fighting?
La prisonida ia es librida.,The prisoner was given his freedom.
"No, me no es un acompanior.","No, I am not an escort."
Cuando nos va comensa come?,When are we going to start eating?
El es un fem multe atraosa.,She is a very attractive woman.
Tom ave un frate en Boston.,Tom has a brother in Boston.
El sabe multe sur papilios.,He knows a lot about butterflies.
"Per favore, dise alga cosa.",Please say something.
El ia naviga la sete mares.,He sailed the Seven Seas.
Tom ia es un de la vitimas.,Tom was one of the victims.
Cisa nos no va debe espeta.,Maybe we won't have to wait.
No core traversante la rua.,Don't run across the street.
El ia dona a me alga selos.,He gave me some stamps.
Alga de mundo ia es ferida.,Some people were hurt.
Alga de mundo ta desacorda.,Some people would disagree.
Alga de mundo nunca escuta.,Some people never listen.
Alga de mundo odia disputa.,Some people hate to argue.
Alga de mundo nunca adulti.,Some people never grow up.
Alga de mundo nunca maturi.,Some people never grow up.
Alga de mundo teme aranias.,Some people are afraid of spiders.
Alga de mundo no sabe acel.,Some people don't know that.
Alga de mundo no pensa tal.,Some people don't think so.
"Plu un om ave, plu el vole.","The more a man has, the more he wants."
La melonjena es un vejetal.,The eggplant is a vegetable.
El es nadante en la pisina.,He is swimming in the pool.
Pexes nada movente la coda.,The fish swims by moving its tail.
Los ave no cosa compartida.,They have nothing in common.
Nos ave no cosa compartida.,We have nothing in common.
Los ave un cosa compartida.,They have one thing in common.
El ave recursos sin limita.,He has infinite resources.
Ma la universa es infinita.,But the universe is infinite.
El ia regarda la orolojeta.,He looked at the watch.
Me ta es felis par aida te.,I would be happy to help you.
Me ia trae un per la aveni.,I brought one just in case.
Me jua tenis a multe veses.,I usually play tennis.
Jua tenis es sua pasatempo.,Playing tennis is his hobby.
Me ia jua tenis tra la dia.,I played tennis all day.
Nos va jua un max de tenis.,We will play a tennis match.
Aida me par leva esta caxa.,Help me lift this box.
El va parti a Jonguo doman.,He leaves for China tomorrow.
La plu bon capelores es ge.,The best hairdressers are gay.
La sposia ge debe es legal.,Gay marriage should be legal.
Tu no ia sabe ce Tom es ge?,You didn't know Tom was gay?
Tom es un campion olimpial.,Tom is an Olympic champion.
Viaja tra tempo es posible.,Time travel is possible.
Tre ecipores ia es salvada.,Three crew members were rescued.
Meg irita a alga veses Ken.,Meg sometimes annoys Ken.
"Per favore, lasa me en pas.",Please leave me alone.
"Lasa me en pas, per favore.","Leave me alone, please."
Libros es fontes de conose.,Books are sources of knowledge.
"Escuta, me no vole batalia.","Listen, I don't want to fight."
Balgarsce es simil a rusce.,Bulgarian is like Russian.
Esce tu pote abri la porte?,Can you open the door?
Esce me pote abri mea oios?,Can I open my eyes?
Esce algun ave un abribote?,Does anybody have a can opener?
Tom ia abri un bote de tun.,Tom opened a can of tuna fish.
A fini Tom ia es condenada.,Tom was eventually convicted.
A fini tu va es convinseda.,"Eventually, you'll be convinced."
Los es no plu ca diferente.,They are merely different.
El es no plu ca un enfante.,He is a mere child.
Me es no plu ca un turiste.,I'm a mere tourist.
Esta no es mera un coaveni.,This is no mere coincidence.
Esta no es un coaveni mera.,This is no mere coincidence.
Do me pote compra un brosa?,Where can I buy a brush?
Esta auto es plu vea ca me.,This car is older than I am.
La infeto ia sperde rapida.,The infection has spread quickly.
Tom ia vide Maria suriente.,Tom saw Mary smiling.
Nos va es ala prosima 2:30.,We'll be there by 2:30.
Joan es corente en la site.,Joan is running in the city.
De cuando tu studia latina?,Since when do you learn Latin?
De cuando Marcus abita asi?,Since when has Marcus been living here?
De cuando tu vive en Tocio?,Since when have you lived in Tokyo?
Tota de mundo gusta musica.,Everybody loves music.
Musica plase tota de mundo.,Everybody loves music.
Betti gusta musica clasica.,Betty likes classical music.
Musica clasica plase Betti.,Betty likes classical music.
La musica ia encanta cadun.,The music lured everyone.
Esce la musica interesa tu?,Are you interested in music?
Me vole un duple de gantos.,I want a pair of gloves.
El es serta ce el va gania.,He is sure to win.
La fem gusta leje jornales.,She likes to read magazines.
Me ia vole sempre es madre.,I've always wanted to be a mother.
"Tom, esce tu ama ancora me?","Tom, do you still love me?"
Perce tu no dise alga cosa?,Why don't you say something?
El ia adormi a su la arbor.,He fell asleep under the tree.
Esce esta ave alga sinifia?,Does this make sense?
Un supramercato tan grande!,What a big supermarket!
Mea color prefereda es blu.,My favorite color is blue.
Tom e Meri es antifaxistes.,Tom and Mary are anti-fascists.
Nun ia informa me sur acel.,No one told me about that.
Me no ia sabe ce Tom es ge.,I had no idea Tom was gay.
Tom identifia se como cuer.,Tom identifies as queer.
La labora es aora en curso.,The work is now in progress.
"Bon, cisa me pote aida vos.","Well, maybe I can help you."
Me dormi en un grande leto.,I sleep in a big bed.
Me vergonia ce me ia fa lo.,I'm ashamed to have done it.
Esce tu pote comprende Tom?,Can you understand Tom?
La universo es un misterio.,The Universe is a mystery.
Tom es un person multe bon.,Tom is a very good person.
Me proposa ce tu studia lo.,I suggest you study it.
Tom es un manica relijiosa.,Tom is a religious nut.
La patatas ia permane calda.,The potatoes stayed hot.
Tu no ia nesesa come rapida.,You didn't need to eat quickly.
La libro es aora disponable.,The book is now available.
Maria es bela e intelijente.,Mary is beautiful and intelligent.
Me ia retira ante tre anios.,I retired three years ago.
Me ia es cotelida tre veses.,I've been stabbed three times.
Tom ia debe aborte la viaja.,Tom had to cancel his trip.
Tom no ia desende de la bus.,Tom didn't get off the bus.
Me es nunca a casa a soldis.,I am never home on Sundays.
Me no fida neseseda traduis.,I don't necessarily trust translations.
Me no fida neseseda relocas.,I don't necessarily trust translations.
Me ia cade ja en ama a ante.,I've been in love before.
Tu es un papilio multe bela.,You are a very beautiful butterfly.
Esce tu vole es con me o no?,Do you want to be with me or not?
La enfantes catura papilios.,The kids catch butterflies.
Me pensa ce tu va gusta asi.,I think you're going to like it here.
La om ia sta fasante la mar.,He faced toward the sea.
Un mar separa Er de England.,A sea separates Ireland and England.
Me ama tu par causa de esta.,I love you for that.
La fem ave volunta bastante.,She has enough willpower.
Me ia pensa ce nos va gania.,I thought we were going to win.
Sposia asusta alga de mundo.,Marriage frightens some people.
Alga de mundo es malvolente.,Some people are evil.
Alga de mundo ia fa no cosa.,Some people did nothing.
Alga de mundo mata se mesma.,Some people kill themselves.
Alga de mundo nunca aprende.,Some people never learn.
Alga de mundo no usa pijama.,Some people don't wear pajamas.
Alga de mundo no come carne.,Some people don't eat meat.
No tota de mundo ia persepi.,Not everyone noticed.
Me va encontra tu plu tarda.,I'll meet you later.
Tremateras es comun en Nion.,Earthquakes are common in Japan.
Esta utiles es in usa comun.,These implements are in common use.
Jenio es pacientia infinita.,Genius is infinite patience.
Acel es un recordo olimpial.,That's an Olympic record.
De do la juas olimpial veni?,Where did the Olympic Games originate?
Esce tu crede ce dio esiste?,Do you believe that God exists?
On ave alga cosa en la caxa.,There's something in the box.
Los sempre ia jua tenis asi.,They always played tennis here.
Labora solitar no es joiosa.,Working alone is no fun.
Brasil ospita la Olimpiales.,Brazil is hosting the Olympic Games.
Esta atleta es forte e ajil.,This athlete is strong and agile.
Te ia es introduida de Xina.,Tea was introduced from China.
Xina es plu grande ca Japan.,China is bigger than Japan.
El ia visita Jonguo en 1998.,He visited China in 1998.
Contra cada cosa el ia veni.,"In spite of everything, he came."
Contra la pluve el ia sorti.,He went out in spite of the rain.
On oteni no cosa sin labora.,You can get nothing without labor.
La fortuna es a veses cruel.,Destiny is sometimes cruel.
A veses la fortuna es cruel.,Destiny is sometimes cruel.
Esce me pote abri esta caxa?,Can I open this box?
Esce vos pote abri la porte?,Can you open the door?
Tom ia abri un bote de sopa.,Tom opened a can of soup.
Me no pote abri esta botela.,I can't open this bottle.
Ultima Tom ia dise la veria.,Tom eventually told the truth.
La eseta no aboli la regula.,The exception does not void the rule.
La eseta demostra la regula.,The exception proves the rule.
Un senior no ta fa tal cosa.,A gentleman wouldn't do such a thing.
Me gusta la clima brasilera.,I like the Brazilian climate.
La clima brasilera plase me.,I like the Brazilian climate.
Esta es un broma de parolas.,This is a play on words.
Tom ave un potential grande.,Tom has great potential.
La similia es multe neblosa.,The similarity is pretty vague.
Tom ia veni a Boston con me.,Tom came to Boston with me.
Me ia dise ja la veria a ty.,I've already told you the truth.
Tom sabe ce Maria no es asi.,Tom knows Mary isn't here.
Lo es fria ala an en estate.,It's cold there even in the summer.
Ordina alfabetal la parolas.,Put the words in alphabetical order.
Ordina alfabetal esta lista.,Put this list in alphabetical order.
De cuando tu aprende latina?,Since when do you learn Latin?
De cuando tu porta lentetas?,Since when are you wearing contacts?
La musica stimula la sentis.,Music moves the feelings.
La musica ia desapare lenta.,The music faded away.
Esce la musica interesa vos?,Are you interested in music?
Tom bevi sempre te a matina.,Tom always drinks tea in the morning.
Tom ave tre enfantes adulte.,Tom has three adult children.
Esce tu come ris a cada dia?,Do you eat rice every day?
Me es um om ci no ave sposa.,I'm a man without a woman.
Esce tu ia vade a scola ier?,Did you go to school yesterday?
Me proba fa lo cual me pote.,I try to do what I can.
Perce Maria plora tan multe?,Why does Mary cry so much?
Ovos es vendeda a desduples.,Eggs are sold by the dozen.
Ci es en la media de compra?,Who's buying?
Me ta feri nunca un enfante.,I would never hurt a child.
La mea es plu bon ca la tua.,Mine is better than yours.
Me ia es en la supramercato.,I was at the supermarket.
Esta caxa es plen de libros.,This box is full of books.
Acel xica gusta acel musica.,That girl likes that music.
Esta parola ave tre silabas.,This word has three syllables.
Nos ia fa esta en la pasada.,We've done that in the past.
Esta es un tradision turces.,This is a Turkish tradition.
Tom es dependente de eroina.,Tom is addicted to heroin.
Me ia sta me per saluta los.,I got up to greet them.
Basi la politicistes malida.,Down with corrupt politicians.
"Per favore, coreta mea eras.",Please correct my mistakes.
Esce vos pote comprende Tom?,Can you understand Tom?
Deutxland es un pais grande.,Germany is a big country.
Tota la linguas es dialetos.,All languages are dialects.
Acel es un arbor multe bela.,That's a very pretty tree.
Me proposa ce vos studia lo.,I suggest you study it.
Tom no ia vole es en Boston.,Tom didn't want to be in Boston.
La arco de sielo es colorosa.,The rainbow is colorful.
Los ia nomi la sua fia Elena.,They named their daughter Helen.
Cual dia de la semana es oji?,What day of the week is it?
Me no comprende arte moderna.,I don't understand modern art.
La mundo es plen de stupidas.,The world is full of idiots.
La mares grande deveni asida.,The oceans are turning acid.
Multe omes ia mori en la mar.,Many men died at sea.
Oserva acel cual tu es fante!,Watch what you're doing!
Me ia es multe ansios sur tu.,I was so worried about you.
La nebleta ia envolve London.,The haze enveloped London.
Alga de mundo ia comensa rie.,Some people started laughing.
Alga de mundo es mera strana.,Some people are just weird.
Alga de mundo no gusta canes.,Some people don't like dogs.
Canes no plase alga de mundo.,Some people don't like dogs.
Ci ia deveni la dirijor nova?,Who became the new director?
Tom ia vade tufa con selacos.,Tom went diving with sharks.
Nos va usa mascas contra gas.,We'll be wearing gas masks.
Pexes grande ama la profonda.,The big fish loves the deep.
El es nadante contra la flue.,He is swimming against the tide.
Los ave alga cosa compartida.,They have something in common.
Nos ave alga cosa compartida.,We have something in common.
Tremateras es comun en Japan.,Earthquakes are common in Japan.
Nos ave tan multe compartida.,We have so much in common.
El gusta poesia plu ca naras.,He prefers poetry to fiction.
Me promete ce tu va es felis.,I promise you'll be happy.
Se madre e sore ia es malada.,His mother and sister were sick.
Sua franses boni pico e pico.,His French is improving little by little.
Esce Kumi continua jua tenis?,Is Kumi playing tennis?
"Vera, Tom cuasi nunca studia.",Tom actually hardly ever studies.
Jonguo es plu grande ca Nion.,China is bigger than Japan.
Nos ia vide Tom sur la plaia.,We saw Tom on the beach.
Vade tan rapida como posible.,Go as fast as possible.
Lusi visita a alga veses Mei.,Lucy sometimes visits May.
Nos va comensa la plu pronto.,We will begin as soon as possible.
Tom e Maria ia amini resente.,Tom and Mary have recently become friends.
Balgarsce es prosima a rusce.,Bulgarian is close to Russian.
Esce tu pote abri la fenetra?,Can you open the window?
Esce me pote abri la fenetra?,Can I open the window?
Esce tu pote abri esta porte?,Can you open this door?
Esce me pote abri la cortina?,Can I open the curtain?
Me no fa esta de multe anios.,I haven't done this in ages.
Ultima el ia prende la culpa.,He eventually took the blame.
Esta no es simple un coaveni.,This is no mere coincidence.
Esta no es un coaveni simple.,This is no mere coincidence.
Acel ia es a anios ante aora.,That was years ago.
"Bon matina, damas e seniores.","Good morning, ladies and gentlemen."
Me computador es multe lenta.,My computer is very slow.
Sua braso ia tanje mea braso.,Her arm brushed against mine.
Esta no debe surprende algun.,This shouldn't surprise anyone.
Tom es un oposor multe forte.,Tom is a formidable opponent.
El ia ateni a fini sua goles.,He finally achieved his goals.
Golf es multe poplal en Nion.,Golf is very popular in Japan.
Me va permete ce vos fa esta.,I'll let you guys do that.
Esta libro es dedicada a nun.,This book is not dedicated to anyone.
Ata rapida ance ave vantajes.,Rapid action also has advantages.
Me es no plu temosa de canes.,I'm no longer afraid of dogs.
Tom no es tan rapida como me.,Tom isn't as fast as I am.
Me ia dise ja la veria a vos.,I've already told you the truth.
Tom dise ce el no ia fa acel.,Tom says he didn't do that.
Me va come un ovo conservada.,I will eat century egg.
Me va come un ovo de milenio.,I will eat century egg.
De cuando Ricardo es sposida?,Since when is Ricardo married?
De cuando focos artal esiste?,Since when are there fireworks?
Nos ia solve ambos problemes.,We solved both problems.
Rusia es plu grande ca Pluto.,Russia is larger than Pluto.
Tom ia es me atendor de bebe.,Tom was my babysitter.
Tom ia compra un jornal dial.,Tom bought a newspaper.
Esce vos come ris a cada dia?,Do you eat rice every day?
Tom leje un libro de istoria.,Tom is reading a history book.
Me consiera el como un enemi.,I regard him as an enemy.
Non tota ista ovos es fresca.,Not all of these eggs are fresh.
Jua en la strada es perilosa.,Playing in the street is dangerous.
La industria ia crese rapida.,Industry was growing quickly.
Nos es en la media de compra.,We're buying.
Mea sala ave un fenetra sola.,My room has only one window.
Me ia vade a la supramercato.,I went to the supermarket.
Esce tu ta vole dansa con me?,Would you like to dance with me?
Esce esta tren veni de Paris?,Is this train from Paris?
Me vade frecuente a la plaia.,I often go to the beach.
Cual cosa tu ia trae per nos?,What did you bring for us?
Sua jenitores ia ave un bebe.,His parents had a baby.
El no es su sore ma su madre.,"She's not his sister, but his mother."
Nos va vive plu longa ca los.,We will outlive them.
Mal fortunas veni sola nunca.,Misfortunes never come singly.
Tota polisiores es bastardos.,All cops are bastards.
Me ave un problem de respira.,I have difficulty breathing.
Tormenta es un problem grave.,Bullying is a serious problem.
Tormenta es un problem seria.,Bullying is a serious problem.
Me ave la parolas la plu bon.,I have the best words.
Tom ia revade apena a Boston.,Tom has just gone back to Boston.
Umanas no pote vive sin aira.,Humans can't live without air.
Tota la mea amis ave enfantes.,All my friends have children.
Lo es asoluta jelante a estra.,It's absolutely freezing outside.
Tom es multe plu rapida ca me.,Tom is much faster than me.
Cuanto casas es en tua strada?,How many houses are there on your street?
Tu fa la mesma era a cada ves.,You always make the same mistake.
Me ia leje acel en alga libro.,I read it in some book.
Do me pote trova un de aceles?,Where can I find one of those?
Me ia compra ja tre de aceles.,I've already bought three of those.
Perce Tom no ia dise la veria?,ׁWhy didn't Tom tell the truth?
Me sabe esata do me vole vade.,I know exactly where I want to go.
Me ave papilios en me stomaco.,I have butterflies in my stomach.
La papilios vive tra tre dias.,Butterflies live for three days.
No la un e no la otra es bela.,Neither is beautiful.
Nos ia abita prosima a la mar.,We lived close by the sea.
"Para, no xuta la un a la otra!","Wait, don't shoot at each other!"
Oserva acel cual vos es fante!,Watch what you're doing!
Do cadun es? Perce nun es asi?,Where is all the people? Why is nobody here?
No core traversante la strada.,Don't run across the street.
Me ia es multe ansios sur vos.,I was so worried about you.
Tom debe engoli la pil amarga.,Tom must swallow the bitter pill.
Esce algun pote fotografi nos?,Can someone take our picture?
La om ia dona a me alga selos.,He gave me some stamps.
Alga de mundo gusta solitaria.,Some people enjoy solitude.
Alga de mundo no ave vergonia.,Some people have no shame.
El parla alga linguas variosa.,He speaks several languages.
El ave des-oto anios a la plu.,She is eighteen at most.
Tom ave tredes anios a la plu.,Tom is thirty at most.
Maria sempre ia vole es curor.,Mary had always wanted to be a nurse.
Me vole vide un filma japanes.,I want to see a Japanese movie.
Me nada a un ves en la semana.,I swim once a week.
Tom ia es evidente embarasada.,Tom was evidently embarrassed.
Nos ia ave no cosa compartida.,We had nothing in common.
La iniora umana es sin limita.,Human ignorance is infinite.
El ia partisipa la Olimpiales.,He took part in the Olympic Games.
Tom labora en la supramercato.,Tom works at the supermarket.
Esta pescas no es multe dulse.,These peaches aren't very sweet.
La re ia es un xasor eselente.,The king was a great huntsman.
Esce tu pote reveni plu tarda.,Can you come back later?
La filma ia es alga deludente.,The movie was a little disappointing.
Dan ia es detetor de omisides.,Dan was a homicide detective.
"Prima, dise a me la bon novas.",Tell me the good news first.
"Regretable, me ave no esperia.",I'm afraid I have no experience.
"Esta es un suposa, no un fato.","That's a supposition, not a fact."
Nosa scema ia resulta en fali.,Our plan resulted in failure.
Me gusta tenis plu ca basebal.,I prefer tennis to baseball.
Tom cuasi nunca fa un demanda.,Tom hardly ever asks questions.
La vive ave sua altas e basas.,Life has its ups and downs.
Tota de nos ave altas e basas.,We all have our ups and downs.
Xina ia developa multe rapida.,China developed very quickly.
Te ia es introduida de Jonguo.,Tea was introduced from China.
Contra la pluve el ia comensa.,He started in spite of the rain.
El ia es la om de sua aspiras.,He was the man of her dreams.
Viaja tra tempo es nonposible.,Time travel is impossible.
"Neva es blanca, suje es negra.","Snow is white, soot is black."
Tom ia vole naturali canadian.,Tom wanted to become a Canadian citizen.
Esce vos pote abri esta porte?,Can you open this door?
Esce me pote abri la fenetras?,Can I open the windows?
A fini un ambulansia ia ariva.,"Eventually, an ambulance arrived."
Lo es no cosa plu ca un broma.,It's merely a joke.
Esta es no cosa plu ca un era.,That's a mere mistake.
Tom ia es no plu ca un atesta.,Tom was merely a witness.
Tom leje la Biblia a cada dia.,Tom reads the Bible every day.
Me ia come nunca comeda xines.,I've never eaten Chinese food.
On ave 187 888 lagos en Suomi.,"There are 187,888 lakes in Finland."
Lo ta es folia fa acel denova.,It would be crazy to do that again.
El brosi sua capeles a matina.,She brushes her hair in the morning.
Golf es multe poplal en Japan.,Golf is very popular in Japan.
Me es contente car me ia aida.,I was glad to help.
Esce tota la sinies es blanca?,Are all swans white?
Tom ia mori a lundi en Boston.,Tom died Monday in Boston.
La furor ia es nunca arestada.,The robber was never apprehended.
Nos ia sabe ce nos pote fa lo.,We knew we could do it.
Tom ia vide la surie de Maria.,Tom saw Mary's smile.
Esta no es cual me ia comanda.,This is not what I ordered.
Ambos de nos es multe dormosa.,We're both very sleepy.
Me ia vide nunca el sirca asi.,I've never seen her around here.
La disputa ia fini en combate.,The argument ended in a fight.
Sua fia la plu vea es sposida.,Her elder daughter is married.
Esce tota de mundo ama musica?,Does everybody love music?
Moscva es la capital de Rusia.,Moscow is the capital of Russia.
Me regrete ce me ia dise a ty.,I regret telling you.
El es un om de desides rapida.,He is a man of quick decisions.
Me nesesa ce tu vade a Boston.,I need you to go to Boston.
On ave un supramercato grande.,There is a large supermarket.
El ia rompe la recordo mundal.,He broke the world record.
Me ia es en la media de dansa.,I was dancing.
Esta es un taxe ce on debe fa.,This is a job that has to be done.
Esta es un caso multe difisil.,This is a very difficult case.
Nos no ia es preparada per lo.,We weren't ready for it.
Esce tu es de un otra planeta?,Are you from another planet?
Sami es un fodeda fio de puta.,Sami is a fucking son of a bitch.
La lus de sol pote caldi acua.,Sunlight can heat water.
El no es un om e no es un fem.,They are neither a man nor a woman.
La gato es ancora multe joven.,The cat is still very young.
La xico gusta pasea en la site.,The boy likes to walk in the city.
La xico gusta pasea en la urbe.,The boy likes to walk in the city.
Me pensa ce Tom es intelijente.,I think Tom is intelligent.
Tu va parla con me en portuges?,Will you speak Portuguese with me?
Maria es solitar en la foresta.,Mary is alone in the forest.
Los ia sesa besa la un la otra.,They stopped kissing.
On ave un botela en la friador.,There's a bottle in the fridge.
"Es o no es, esta es la demanda.","To be or not to be, that is the question."
Tra cuanto tempo papilios vive?,How long do butterflies live?
"Esta esplica lo, sin alga duta.",This explains it without a doubt.
Sua belia ia es nondescrivable.,Her beauty was beyond description.
Me ta vole sabe plu sur siensa.,I would like to know more about science.
Ci no sabe un poca de espaniol?,Who doesn't know some Spanish?
Esce lo ia es pluvos en London?,Was it rainy in London?
La reuni ia fini a la ora nove.,The meeting finished at nine.
Alga de mundo ia comensa plora.,Some people started crying.
Alga de mundo ia comensa dansa.,Some people started dancing.
Alga de mundo ave no pasientia.,Some people have no patience.
Alga de mundo es ancora temosa.,Some people are still afraid.
Alga de mundo es ancora ansios.,Some people are still worried.
Acel ia es un era multe grande.,That was a huge mistake.
Me ta vole sabe como pinti tal.,I'd like to know how to paint like that.
Tom parla alga linguas variosa.,Tom speaks several languages.
Me studia alga linguas variosa.,I am studying several languages.
Los ave multe cosas compartida.,They have a lot in common.
La numero de foles es infinita.,The number of fools is infinite.
On ave multe flores savaje asi.,Here there are many wildflowers.
Tom ia regarda tra la binoculo.,Tom looked through the binoculars.
Apatia es plu mal ca antipatia.,Apathy is worse than antipathy.
La enfantes vole sempre adulti.,Children always want to become adults.
Cada cosa ia reveni a normalia.,Everything has returned to normal.
Brasil ospita la Juas Olimpial.,Brazil is hosting the Olympic Games.
Contra la mal clima el ia veni.,He came in spite of bad weather.
Vania de vanias; tota es vania.,Vanity of vanities; all is vanity.
Contra la tempesta el ia sorti.,"In spite of the storm, he went out."
La carusel jira con la orolojo.,The merry-go-round rotates clockwise.
La persones menti a alga veses.,"Sometimes, people lie."
"""Multe grasias!"" ""Per no cosa.""",Thank you very much! — You're welcome.
Esce tu gusta sircos balgarsce?,Do you like Bulgarian circuses?
Los es no cosa plu ca nonusual.,They are merely different.
Tom ia trata Maria como un rea.,Tom treated Mary like a queen.
Tom ia abri la caje de la leon.,Tom opened the lion's cage.
Ta ce me esplica cual ia aveni.,Let me explain what happened.
Me gusta la portuges brasilera.,I like Brazilian Portuguese.
La portuges brasilera plase me.,I like Brazilian Portuguese.
Ci nase en Brasil es brasilera.,He who is born in Brazil is Brazilian.
Me es brasilera e aprende nion.,I'm Brazilian and I'm learning Japanese.
Tre otra soldatos ia es ferida.,Three other soldiers were wounded.
Sua labios ia tanje mea labios.,His lips brushed against mine.
La braso de el ia tanje la mea.,Her arm brushed against mine.
Mea camera ave sola un fenetra.,There's only one window in my room.
Maria no gusta numeros nonreta.,Mary does not like odd numbers.
Nos ia perde un monton de mone.,We lost a lot of money.
La nom de la om es Tom Jackson.,The man's name is Tom Jackson.
Nos espera ce tu alia tu a nos.,We hope you'll join us.
Me ave tro multe labora per fa.,I've got too much work to do.
Nos vole ce Tom va es susedosa.,We want Tom to be successful.
Me regrete ce me no ia fida tu.,I'm sorry I didn't trust you.
Me es no plu temosa de aranias.,I'm no longer afraid of spiders.
Ta ce nos no fa suposas dutada.,Let's not make dubious assumptions.
Me vole sabe esce tu comprende.,I wonder whether you understand.
Me va come un ovo de mil anios.,I will eat century egg.
Tom es un xico multe coleriosa.,Tom is a very angry boy.
Me es en la media de boli acua.,I am boiling water.
Lingua es un organisme vivente.,Language is a living organism.
Me gusta plu la nada ca la sci.,I prefer swimming to skiing.
Me es triste sin tu tra la dia.,I miss you all the time.
Tu va abitua pronto a vive asi.,You will soon get accustomed to living here.
Nos ave un supramercato grande.,We have a big supermarket.
Un lingua sola va sufisi nunca.,One language will never be enough.
El menti como un parla funeral.,He lies like a eulogy.
Kigali es la capital de Ruanda.,Kigali is the capital of Rwanda.
Me ave sempre la mesma program.,I always have the same schedule.
Me ia sabe ce Tom es de Boston.,I knew that Tom was from Boston.
Me no comprende cual tu intende.,I don't understand what you mean.
Me es multe felis car me reveni.,I'm very happy to be back.
Me ia vole dona un donada a Tom.,I wanted to give Tom a gift.
On ave bon persones en la mundo.,There are good people in the world.
Papilio es un parola multe bela.,Butterfly is a very nice word.
Me ia mori par inonda en la mar.,I drowned in the ocean.
La mundo ave sinco mares grande.,The world has five oceans.
La presipe pende a supra la mar.,The cliff hangs over the sea.
On ave algun ci ta pote aida me?,Is there someone who could help me?
Alga de mundo destensa par leje.,Some people relax by reading.
